KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
Not,1006.01,2683526,878236,4221,4266,4307,4170,4682,5082,5583,6098,1286,1348,1327,1468,1866,1985,2213,2555,1365,1692,1870,2124,2375,102,173,114,89,180,1365,1692,1870,2124,2375,350,316,328,288,274
Not,1006.02,2654778,878574,1424,1439,1453,1406,1579,1714,1883,1854,434,454,447,495,629,669,710,750,461,571,631,678,714,35,59,39,32,36,461,571,631,678,714,118,107,110,0,0
Not,1007,2651948,838958,4780,4832,4877,4723,5303,5756,5959,5581,1487,1557,1534,1697,2157,2295,2456,2360,1519,1854,2095,2267,2065,178,303,200,189,295,1519,1854,2095,2267,2065,575,520,538,339,288
Not,400.01,2759231,1081637,0,0,0,37,28,1,1,0,0,0,0,25,27,1,1,0,22,21,1,1,0,3,6,0,0,0,22,21,1,1,0,0,0,0,0,0
Not,400.02,2756786,1069022,914,656,377,52,26,0,0,3,245,198,140,31,29,0,3,0,24,16,0,0,0,7,13,0,3,0,24,16,0,0,0,7,0,0,0,3
Not,402,2745897,1084070,3239,3825,3394,4634,2661,2239,1294,1351,984,1176,1100,1572,1239,1059,837,725,1401,859,797,465,545,171,380,262,372,180,1401,859,797,465,545,30,0,0,38,0
Not,403,2744708,1083699,3052,3604,3198,1955,1581,1245,688,738,927,1108,1000,665,569,513,364,349,610,491,417,278,277,55,78,96,86,72,610,491,417,278,277,14,0,0,0,0
Not,404,2744234,1081532,3256,3845,3412,3685,3681,2888,2359,1887,989,1182,1195,1219,1183,1095,1015,919,1156,1120,970,868,750,63,63,125,147,169,1156,1120,970,868,750,12,0,0,0,0
Not,405,2737903,1081132,1012,1533,2950,2634,2064,1916,1862,1898,289,464,910,841,807,795,779,758,797,783,754,715,650,44,24,41,64,108,797,783,754,715,650,0,0,0,0,0
Not,406,2742444,1079984,3801,4489,3983,4232,3854,3453,3004,2690,1154,1380,1225,1394,1338,1283,1219,1167,1322,1254,1162,1055,950,72,84,121,164,217,1322,1254,1162,1055,950,0,0,0,0,0
Not,407,2748090,1080398,4512,5328,4728,5267,3977,2881,2024,1766,1370,1638,1636,1508,1342,1204,995,858,1430,1232,1048,816,647,78,110,156,179,211,1430,1232,1048,816,647,0,22,13,0,35
Not,408,2751579,1079068,2648,3127,2775,2126,1510,1158,833,542,804,962,807,746,641,529,396,318,690,579,438,334,217,56,62,91,62,101,690,579,438,334,217,6,0,0,0,0
Not,409,2753600,1081934,7406,8044,7246,4038,2557,1972,1513,1292,2152,2438,2222,1545,1204,1048,850,727,1395,1075,885,688,566,150,129,163,162,161,1395,1075,885,688,566,7,0,0,0,0
Not,410,2754800,1077782,5044,4614,4301,4668,3010,2210,1602,1336,1346,1351,1351,1779,1287,1044,864,680,1595,1115,841,660,532,184,172,203,204,148,1595,1115,841,660,532,1,0,0,0,0
Not,411,2753405,1076707,5434,5819,5256,3386,2081,1724,1340,1209,1567,1759,1734,1350,1046,846,597,536,1238,803,622,495,446,112,243,224,102,90,1238,803,622,495,446,3,11,0,0,1
Not,412,2748304,1076864,5389,6364,5647,4506,3209,2129,1650,1534,1636,1957,1770,1623,1236,1084,802,761,1489,1132,803,639,594,134,104,281,163,167,1489,1132,803,639,594,8,4,0,0,0
Not,413,2741745,1076418,5145,6076,5392,6028,5188,4989,4953,4710,1562,1868,1778,2253,2192,2166,2062,1948,2166,2070,1873,1799,1577,87,122,293,263,371,2166,2070,1873,1799,1577,36,15,0,5,17
Not,415,2740253,1071445,1469,1474,2483,2523,2384,2130,2470,2464,433,476,860,1027,1117,1074,1017,1007,1027,1078,949,931,822,0,39,125,86,185,1027,1078,949,931,822,24,14,23,58,8
Not,416,2744510,1073425,2409,2417,4071,4094,3645,3623,3922,4115,709,780,1412,1696,1654,1599,1582,1552,1696,1573,1472,1464,1350,0,81,127,118,202,1696,1573,1472,1464,1350,101,34,74,80,16
Not,417,2748346,1073484,2774,2783,4688,3524,2768,2752,2612,2522,817,898,1649,1502,1342,1246,1060,980,1359,1178,1027,870,784,143,164,219,190,196,1359,1178,1027,870,784,129,0,98,53,0
